bin	n	n1	gc_mid	mean_pred	empirical_prop	se
0	11	0	25.154545454545453	0.05488579921829511	0.0	0.0
1	53	1	27.38490566037736	0.05611265073490963	0.018867924528301886	0.0186890776054207
2	183	9	29.75846994535519	0.06005462557579599	0.04918032786885246	0.015985243061502875
3	366	22	32.19289617486339	0.059436194994957114	0.060109289617486336	0.012424214295964246
4	466	26	34.68090128755365	0.061529577800059604	0.055793991416309016	0.01063246929460613
5	550	34	37.13363636363636	0.060535835535707114	0.06181818181818182	0.010268813706370285
6	520	36	39.52211538461538	0.06237737157784586	0.06923076923076923	0.011131890245050756
7	447	27	42.10022371364653	0.06126440583391104	0.06040268456375839	0.011267958597934408
8	359	25	44.56323119777159	0.06128229243448787	0.06963788300835655	0.013433883102240193
9	244	15	47.03442622950819	0.06184948110663694	0.06147540983606557	0.015377248445689643
10	148	13	49.339864864864865	0.06507782991801572	0.08783783783783784	0.023267299881937827
11	98	4	51.743877551020404	0.06020576887044232	0.04081632653061224	0.0199873311965045
12	53	2	54.34905660377358	0.06300238856276856	0.03773584905660377	0.02617497535728273
13	37	2	56.85405405405405	0.05859870686573042	0.05405405405405406	0.037174611102993346
14	19	1	59.40526315789474	0.05861358283882157	0.05263157894736842	0.05122781719918817
15	5	1	61.7	0.05916399384319461	0.2	0.1788854381999832
16	4	0	64.1	0.05785676770780865	0.0	0.0
17	1	0	66.9	0.05916399384319461	0.0	0.0
19	1	0	73.2	0.05916399384319461	0.0	0.0
